City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
470,Huainan,CN,86.54,32.6264,116.9969,GME Huainan Tianjiaan District Chaoyang East Road Hotel
472,Pitimbu,BR,70.39,-7.4706,-34.8086,Reserva do Abiaí
473,San Cristobal,VE,66.81,7.7669,-72.225,Posada Villaven C.A.
474,Boralday,KZ,91.96,43.3578,76.8594,"Zhetysu, Too Zhetysu"
475,Kieta,PG,79.14,-6.2167,155.6333,Uruna Bay Retreat
476,Arlit,NE,91.6,18.7369,7.3853,Case de Passage De la Prefecture
478,Isangel,VU,86.11,-19.55,169.2667,Tanna Lodge
481,Diu,IN,83.21,20.7141,70.9822,Hotel Relax Inn
484,Acajutla,SV,83.8,13.5928,-89.8275,asi es
485,Victoria,HK,94.96,22.2855,114.1577,Mini Hotel Central
486,Lagoa,PT,68.13,39.05,-27.9833,Casa Das Faias
489,Fort Nelson,CA,72.99,58.8053,-122.7002,The Fort Nelson Hotel
491,Bainbridge,US,75.07,47.6262,-122.5212,Bainbridge Island Country Inn
492,Anilao,PH,86.72,12.714,121.5124,Anilao Eco Park
493,Erenhot,CN,67.05,43.6475,111.9767,Erenhot Rurouni Youth Hostel
494,Taganak,PH,89.74,6.0833,118.3,Taganak
496,Kyaikto,MM,83.86,17.3,97.0167,နီလာ တည်းခိုခန်း
499,Midland,US,86.68,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
500,Springdale,US,82.31,36.1867,-94.1288,Springdale Inn
501,Mbandaka,CD,72.27,0.0487,18.2603,Guest House Epervier
502,Bulaevo,KZ,73.78,54.9056,70.4439,"Игровой клуб ""ДОМ ИГР Z"""
504,Roebourne,AU,78.89,-20.7833,117.1333,Latitude20 Roebourne Village
505,Campo Verde,BR,74.41,-20.4167,-54.0667,
506,Palmer,US,69.03,42.1584,-72.3287,Wedgewood Motel
507,Bokoro,TD,80.89,12.3807,17.0568,
510,Dossor,KZ,82.47,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
511,Sterling,US,76.86,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
512,Omboue,GA,72.86,-1.5746,9.2618,Hotel Olako
513,Revelstoke,CA,77.02,50.9832,-118.2023,Best Western Plus Revelstoke
516,Boda,CF,67.17,4.3189,17.4695,
517,Quatre Cocos,MU,69.91,-20.2078,57.7625,Sunrise Attitude Hotel
519,Chabahar,IR,85.32,25.2919,60.643,هتل گدروشیا
520,El Alto,PE,64.09,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
522,Mobaye,CF,68.52,4.319,21.1786,
523,Cap Malheureux,MU,70.29,-19.9842,57.6142,Pereybere Hotel & Spa
525,Luderitz,,64.87,-26.6481,15.1594,LÜDERITZ NEST HOTEL
526,Brufut,GM,78.89,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
527,Grand Gaube,MU,70.2,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
528,Nalut,LY,75.76,30.3333,10.85,
529,Chiesanuova,SM,75.22,43.9045,12.4214,Hotel Silvana
530,Filingue,NE,83.08,14.3521,3.3168,
531,Vicksburg,US,81.1,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
532,Praia Da Vitoria,PT,71.85,38.7333,-27.0667,Hotel Branco I
535,Meridian,US,83.52,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
536,Nyaunglebin,MM,84.67,17.95,96.7333,Royal Motel
540,Nicoya,CR,72.95,10.1483,-85.452,Guayacan Real
541,Pokhara,NP,78.53,28.2333,83.9833,Butterfly Lodge
542,Texarkana,US,82.24,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
544,Kavieng,PG,84.18,-2.5744,150.7967,Nusa Island Retreat
546,Saint-Joseph,RE,66.58,-21.3667,55.6167,"""Plantation Bed and Breakfast"
547,Maceio,BR,71.04,-9.6658,-35.7353,Poutur Pousada
550,Mangrol,IN,80.83,21.1167,70.1167,Hotel The Royal Honours
551,Orsk,RU,68.9,51.2049,58.5668,Kolizey
552,Sawtell,AU,69.19,-30.3833,153.1,Island Beach House Sawtell
553,Bilma,NE,86.54,18.6853,12.9164,Expeditions Ténére voyages
555,Karakol,KG,80.35,42.4907,78.3936,"Gostinitsa ""Al'tamira"""
557,Yashkul,RU,80.85,46.1711,45.3435,Bon Voyazh
559,Morden,CA,73.26,49.1919,-98.1014,Morden Motor Inn
560,Kulhudhuffushi,MV,77.52,6.6221,73.07,Hondaafushi Island Resort
561,Genhe,CN,68.4,50.7833,121.5167,Companionship Hotel
563,Aleksandrov Gay,RU,71.62,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
565,Labuhan,ID,86.63,-6.8844,112.2051,PT PPI Lamongan Tambak C
567,Esil,KZ,70.81,51.9556,66.4042,Egorkino Hotel
